vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,energy_mean,energy_std,throughput_mean,throughput_std,j_per_token_mean,j_per_token_std,tpot_mean,tpot_std,cv_throughput,n_reps,cei
int4_awq,4,512,C,1988.866900904762,13.260784314489385,202.08912857142855,1.7811412433536982,1.6521751233748923,0.011944906949658005,5.252857142857143,0.045825756949558975,0.008813642059543813,3,0.08011618692353298
int4_awq,8,64,A,174.6323201111111,8.695109911328256,563.6548,10.218263910001776,0.36918717719510546,0.01849175899187828,1.7766666666666666,0.03605551275463992,0.018128584924676935,3,1.0
int4_awq,8,64,B,366.6535925555556,10.497218002559663,385.18528888888886,1.489552561205029,0.7161202979600695,0.02050237891124934,2.595555555555556,0.009622504486494049,0.0038671065696766933,3,0.35230362115398794
int4_awq,8,64,C,1508.2555445555554,11.390702818546158,126.06974444444444,0.3811213751452225,3.028722092801024,0.023508184278187683,7.942222222222221,0.02168802366215974,0.003023099450425051,3,0.027263703227999363
int4_awq,8,256,A,636.6839774444444,10.815369987078425,587.2582777777778,3.4868870225673168,0.43916867123757336,0.007796444166414983,1.7066666666666668,0.008819171036882236,0.005937569812999343,3,0.8758529445742397
int4_awq,8,256,B,881.4405350000001,25.31709906114951,424.0861888888889,2.9363418383221678,0.6833961009876738,0.020381586417647073,2.3766666666666665,0.0185592145427665,0.006923927058354388,3,0.4064573966522819
int4_awq,8,256,C,2191.7226616666667,5.783080957690963,258.8906888888889,1.3876324927065067,1.3946043774433023,0.002918457301205894,3.9277777777777776,0.021430335024428475,0.005359916568115929,3,0.12159026523096816
int4_awq,8,512,A,1029.726219111111,13.502101167299523,470.0476777777778,0.9402212554815422,0.5714944165241104,0.00729287799372468,2.1633333333333336,0.005773502691896167,0.002000267845012221,3,0.5387202721654308
int4_awq,8,512,B,1176.6163729999998,11.380713781247838,364.1676888888889,1.2995665774631402,0.8006416404170461,0.008141224133107281,2.755555555555556,0.010183501544346498,0.0035685938569351133,3,0.2979179255348937
int4_awq,8,512,C,3045.387824111111,7.215867447079621,296.8471666666667,1.2162789939446683,1.1938576215968864,0.00046294138070000117,3.5255555555555556,0.01644294287438773,0.004097323911164232,3,0.1628597525061398
int8_w8a16,1,64,A,124.26764432222222,0.5893825856782043,97.01931,0.46112428427100527,1.9416819425347223,0.009209102901221943,10.308444444444445,0.050905504322915636,0.004752912428165141,3,0.03272754951528811
